Nazwa,Kategoria
06MAGNA,akcje
08OCTAVA,akcje
11BIT,akcje
4FUNMEDIA,akcje
4MASS,akcje
ABPL,akcje
ACAUTOGAZ,akcje
ACTION,akcje
ADIUVO,akcje
AGORA,akcje
AGROTON,akcje
AILLERON,akcje
AIRWAY,akcje
ALIOR,akcje
ALTA,akcje
ALTUSTFI,akcje
ALUMETAL,akcje
AMBRA,akcje
AMICA,akcje
AMPLI,akcje
AMREST,akcje
APATOR,akcje
APLISENS,akcje
APSENERGY,akcje
ARCHICOM,akcje
ARCTIC,akcje
ARCUS,akcje
ARTERIA,akcje
ARTIFEX,akcje
ASBIS,akcje
ASMGROUP,akcje
ASSECOBS,akcje
ASSECOPOL,akcje
ASSECOSEE,akcje
ASTARTA,akcje
ATAL,akcje
ATENDE,akcje
ATLANTAPL,akcje
ATLANTIS,akcje
ATLASEST,akcje
ATM,akcje
ATMGRUPA,akcje
ATREM,akcje
AUGA,akcje
AUTOPARTN,akcje
AWBUD,akcje
BAHOLDING,akcje
BALTONA,akcje
BBIDEV,akcje
BEDZIN,akcje
BENEFIT,akcje
BERLING,akcje
BEST,akcje
BETACOM,akcje
BIK,akcje
BIOMEDLUB,akcje
BIOTON,akcje
BLOOBER,akcje
BNPPPL,akcje
BOGDANKA,akcje
BOOMBIT,akcje
BORYSZEW,akcje
BOS,akcje
BOWIM,akcje
BRASTER,akcje
BSCDRUK,akcje
BUDIMEX,akcje
BUMECH,akcje
CAPITAL,akcje
CCC,akcje
CCENERGY,akcje
CDPROJEKT,akcje
CDRL,akcje
CELTIC,akcje
CEZ,akcje
CFI,akcje
CHEMOS,akcje
CIECH,akcje
CIGAMES,akcje
CITYSERV,akcje
CLNPHARMA,akcje
CNT,akcje
COALENERG,akcje
COGNOR,akcje
COLUMBUS,akcje
COMARCH,akcje
COMP,akcje
COMPERIA,akcje
CORMAY,akcje
CPGROUP,akcje
CUBEITG,akcje
CYFRPLSAT,akcje
CZTOREBKA,akcje
DATAWALK,akcje
DBENERGY,akcje
DEBICA,akcje
DECORA,akcje
DEKPOL,akcje
DELKO,akcje
DEVELIA,akcje
DGA,akcje
DIGITREE,akcje
DINOPL,akcje
DOMDEV,akcje
DREWEX,akcje
DROP,akcje
DROZAPOL,akcje
ECHO,akcje
EDINVEST,akcje
EFEKT,akcje
EKOEXPORT,akcje
ELBUDOWA,akcje
ELEKTROTI,akcje
ELEMENTAL,akcje
ELKOP,akcje
ELZAB,akcje
EMCINSMED,akcje
ENAP,akcje
ENEA,akcje
ENELMED,akcje
ENERGA,akcje
ENERGOINS,akcje
ENTER,akcje
ERBUD,akcje
ERG,akcje
ERGIS,akcje
ESOTIQ,akcje
ESSYSTEM,akcje
ESTAR,akcje
EUCO,akcje
EUROCASH,akcje
EUROHOLD,akcje
EUROTEL,akcje
EVEREST,akcje
FAMUR,akcje
FASING,akcje
FASTFIN,akcje
FEERUM,akcje
FENGHUA,akcje
FERRO,akcje
FERRUM,akcje
FMG,akcje
FON,akcje
FORTE,akcje
GETBACK,akcje
GETIN,akcje
GETINOBLE,akcje
GLCOSMED,akcje
GOBARTO,akcje
GPW,akcje
GROCLIN,akcje
GRODNO,akcje
GRUPAAZOTY,akcje
GTC,akcje
HANDLOWY,akcje
HARPER,akcje
HELIO,akcje
HERKULES,akcje
HMINWEST,akcje
HOLLYWOOD,akcje
HUBSTYLE,akcje
HYDROTOR,akcje
I2DEV,akcje
IALBGR,akcje
IBSM,akcje
IDEABANK,akcje
IDMSA,akcje
IFCAPITAL,akcje
IFIRMA,akcje
IFSA,akcje
IIAAV,akcje
IMCOMPANY,akcje
IMMOBILE,akcje
IMPEL,akcje
IMPERA,akcje
IMS,akcje
INC,akcje
INDYGO,akcje
INDYKPOL,akcje
INGBSK,akcje
INPRO,akcje
INSTALKRK,akcje
INTERAOLT,akcje
INTERBUD,akcje
INTERCARS,akcje
INTERFERI,akcje
INTERSPPL,akcje
INTROL,akcje
INVISTA,akcje
IPOPEMA,akcje
IQP,akcje
ITMTRADE,akcje
IZOBLOK,akcje
IZOLACJA,akcje
IZOSTAL,akcje
JHMDEV,akcje
JJAUTO,akcje
JRHOLDING,akcje
JSW,akcje
JWCONSTR,akcje
JWWINVEST,akcje
K2INTERNT,akcje
KANIA,akcje
KBDOM,akcje
KCI,akcje
KDMSHIPNG,akcje
KERNEL,akcje
KETY,akcje
KGHM,akcje
KGL,akcje
KINOPOL,akcje
KOGENERA,akcje
KOMPAP,akcje
KOMPUTRON,akcje
KONSSTALI,akcje
KPPD,akcje
KRAKCHEM,akcje
KREC,akcje
KREDYTIN,akcje
KREZUS,akcje
KRKA,akcje
KRUK,akcje
KRUSZWICA,akcje
KRVITAMIN,akcje
KSGAGRO,akcje
LABOPRINT,akcje
LARK,akcje
LARQ,akcje
LENA,akcje
LENTEX,akcje
LIBET,akcje
LIVECHAT,akcje
LOKUM,akcje
LOTOS,akcje
LPP,akcje
LSISOFT,akcje
LUBAWA,akcje
MABION,akcje
MAKARONPL,akcje
MANGATA,akcje
MARVIPOL,akcje
MASTERPHA,akcje
MAXCOM,akcje
MBANK,akcje
MBWS,akcje
MCI,akcje
MDIENERGIA,akcje
MEDIACAP,akcje
MEDIATEL,akcje
MEDICALG,akcje
MEGARON,akcje
MENNICA,akcje
MERCATOR,akcje
MERCOR,akcje
MEXPOLSKA,akcje
MFO,akcje
MILKILAND,akcje
MILLENNIUM,akcje
MIRACULUM,akcje
MIRBUD,akcje
MLPGROUP,akcje
MLSYSTEM,akcje
MOBRUK,akcje
MOJ,akcje
MOL,akcje
MONNARI,akcje
MORIZON,akcje
MOSTALPLC,akcje
MOSTALWAR,akcje
MOSTALZAB,akcje
MOVIEGAMES,akcje
MUZA,akcje
MWTRADE,akcje
NANOGROUP,akcje
NEPTIS,akcje
NETIA,akcje
NEUCA,akcje
NEWAG,akcje
NORTCOAST,akcje
NOVATURAS,akcje
NOVITA,akcje
NOWAGALA,akcje
NTTSYSTEM,akcje
OAT,akcje
ODLEWNIE,akcje
OEX,akcje
OPENFIN,akcje
OPONEO.PL,akcje
OPTEAM,akcje
ORANGEPL,akcje
ORBIS,akcje
ORCOGROUP,akcje
ORION,akcje
ORZBIALY,akcje
OTLOG,akcje
OTMUCHOW,akcje
OVOSTAR,akcje
PAMAPOL,akcje
PANOVA,akcje
PASSUS,akcje
PATENTUS,akcje
PBG,akcje
PBKM,akcje
PBSFINANSE,akcje
PCCEXOL,akcje
PCCROKITA,akcje
PCGUARD,akcje
PEIXIN,akcje
PEKABEX,akcje
PEKAO,akcje
PEMANAGER,akcje
PEP,akcje
PEPEES,akcje
PGE,akcje
PGNIG,akcje
PGO,akcje
PGSSOFT,akcje
PHARMENA,akcje
PHN,akcje
PKNORLEN,akcje
PKOBP,akcje
PKPCARGO,akcje
PLASTBOX,akcje
PLATYNINW,akcje
PLAY,akcje
PLAYWAY,akcje
PLAZACNTR,akcje
PMPG,akcje
POLICE,akcje
POLIMEXMS,akcje
POLNORD,akcje
POLWAX,akcje
POZBUD,akcje
PRAGMAFA,akcje
PRAGMAINK,akcje
PRAIRIE,akcje
PRIMAMODA,akcje
PRIMETECH,akcje
PROCAD,akcje
PROCHEM,akcje
PROJPRZEM,akcje
PROTEKTOR,akcje
PROVIDENT,akcje
PTWP,akcje
PULAWY,akcje
PZU,akcje
QUANTUM,akcje
QUERCUS,akcje
R22,akcje
RADPOL,akcje
RAFAKO,akcje
RAFAMET,akcje
RAINBOW,akcje
RANKPROGR,akcje
RAWLPLUG,akcje
REDAN,akcje
REDWOOD,akcje
REGNON,akcje
REINHOLD,akcje
REINO,akcje
RELPOL,akcje
REMAK,akcje
RESBUD,akcje
RONSON,akcje
ROPCZYCE,akcje
RUBICON,akcje
RYVU,akcje
SADOVAYA,akcje
SANOK,akcje
SANPL,akcje
SANTANDER,akcje
SANWIL,akcje
SCOPAK,akcje
SCPFL,akcje
SECOGROUP,akcje
SEKO,akcje
SELENAFM,akcje
SELVITA,akcje
SERINUS,akcje
SESCOM,akcje
SETANTA,akcje
SFINKS,akcje
SILVAIR-REGS,akcje
SILVANO,akcje
SIMPLE,akcje
SKARBIEC,akcje
SKOTAN,akcje
SKYLINE,akcje
SLEEPZAG,akcje
SNIEZKA,akcje
SOHODEV,akcje
SOLAR,akcje
SONEL,akcje
SOPHARMA,akcje
STALEXP,akcje
STALPROD,akcje
STALPROFI,akcje
STAPORKOW,akcje
STARHEDGE,akcje
STELMET,akcje
SUNEX,akcje
SUWARY,akcje
SWISSMED,akcje
SYGNITY,akcje
SYNEKTIK,akcje
TALANX,akcje
TALEX,akcje
TARCZYNSKI,akcje
TATRY,akcje
TAURONPE,akcje
TBULL,akcje
TERMOREX,akcje
TESGAS,akcje
TIM,akcje
TORPOL,akcje
TOWERINVT,akcje
TOYA,akcje
TRAKCJA,akcje
TRANSPOL,akcje
TRITON,akcje
TSGAMES,akcje
TXM,akcje
ULMA,akcje
ULTGAMES,akcje
UNIBEP,akcje
UNICREDIT,akcje
UNIMA,akcje
UNIMOT,akcje
URSUS,akcje
VANTAGE,akcje
VENTUREIN,akcje
VIGOSYS,akcje
VINDEXUS,akcje
VISTAL,akcje
VIVID,akcje
VOTUM,akcje
VOXEL,akcje
VRG,akcje
WADEX,akcje
WARIMPEX,akcje
WASKO,akcje
WAWEL,akcje
WIELTON,akcje
WIKANA,akcje
WINVEST,akcje
WIRTUALNA,akcje
WITTCHEN,akcje
WOJAS,akcje
WORKSERV,akcje
XPLUS,akcje
XTB,akcje
XTPL,akcje
YOLO,akcje
ZAMET,akcje
ZASTAL,akcje
ZEPAK,akcje
ZPUE,akcje
ZREMB,akcje
ZUE,akcje
ZYWIEC,akcje
CEEplus,indeksy
GPWB-B1Y3Y,indeksy
GPWB-B1Y4Y,indeksy
GPWB-B1Y5Y,indeksy
GPWB-B3Y5Y,indeksy
GPWB-B5Y,indeksy
GPWB-BWZ,indeksy
INVESTORMS,indeksy
MWIG40,indeksy
MWIG40DVP,indeksy
MWIG40TR,indeksy
mWIG40TRlv,indeksy
mWIG40TRsh,indeksy
NCINDEX,indeksy
SWIG80,indeksy
SWIG80DVP,indeksy
SWIG80TR,indeksy
TBSP.INDEX,indeksy
WIG,indeksy
WIG-BANKI,indeksy
WIG-BUDOW,indeksy
WIG-CEE,indeksy
WIG-CHEMIA,indeksy
WIG-ENERG,indeksy
WIG-ESG,indeksy
WIG-GORNIC,indeksy
WIG-gry,indeksy
WIG-INFO,indeksy
WIG-LEKI,indeksy
WIG-MEDIA,indeksy
WIG-MOTO,indeksy
WIG-NRCHOM,indeksy
WIG-ODZIEZ,indeksy
WIG-PALIWA,indeksy
WIG-POLAND,indeksy
WIG-SPOZYW,indeksy
WIG-TELKOM,indeksy
WIG-UKRAIN,indeksy
WIG.GAMES,indeksy
WIG.MS-BAS,indeksy
WIG.MS-FIN,indeksy
WIG.MS-PET,indeksy
WIG140,indeksy
WIG20,indeksy
WIG20DVP,indeksy
WIG20LEV,indeksy
WIG20SHORT,indeksy
WIG20TR,indeksy
WIG20TRlev,indeksy
WIG20TRsht,indeksy
WIG30,indeksy
WIG30TR,indeksy
WIGDIV,indeksy
WIGdivplus,indeksy
WIGind,indeksy
WIGmed,indeksy
WIGTECH,indeksy
WIGTECHTR ,indeksy
DS0725,obligacje
DS0726,obligacje
DS0727,obligacje
DS1020,obligacje
DS1021,obligacje
DS1023,obligacje
DS1029,obligacje
EUR0124,obligacje
EUR0126,obligacje
EUR0136,obligacje
EUR0527,obligacje
EUR0925,obligacje
EUR1021,obligacje
EUR1027,obligacje
EUR1028,obligacje
